Programma;Zender;Datum;Start;Duur
THUIS;VRT 1;5/06/2025;20:17:52;0:24:30
HET 7 UUR-JOURNAAL;VRT 1;5/06/2025;19:00:04;0:43:18
BLOKKEN;VRT 1;5/06/2025;18:29:07;0:28:30
NIEUWS 19U VTM;VTM;5/06/2025;18:59:48;0:53:21
DE DAG VAN VANDAAG;VRT 1;5/06/2025;21:37:08;0:53:26
ALLOO BIJ DE VERKEERSPOLITIE;VTM;8/06/2025;22:41:26;0:59:45
HET 1 UUR-JOURNAAL;VRT 1;8/06/2025;13:00:04;0:27:33
